Product Name,Category,Total Qty,Wishlists,Buy Price,Sell Price,URL,Barcode,Manufacturer SKU,ASIN,MSRP,Brand,Weight,Description,Max Qty,Domestic Only,Tax Exempt
Deadeye Tormentor,Ixalan,60,0,0.00,0.25,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/deadeye_tormentor/1534303,,,B075NTGZ16,0.00,"",0.005,"",4,,false
Bellowing Aegisaur - Foil,Ixalan,1,0,0.00,0.75,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/bellowing_aegisaur__foil/1534313,,,B075NV3GMH,0.00,"",0.005,"",4,,false
Deadeye Tormentor - Foil,Ixalan,2,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/deadeye_tormentor__foil/1534323,,,B075NTXH1Z,0.00,"",0.005,"",4,,false
Belligerent Brontodon,Ixalan,8,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/belligerent_brontodon/1534333,,,B075NV9D4Q,0.00,"",0.005,"",4,,false
Call to the Feast,Ixalan,1,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/call_to_the_feast/1534343,,,B075NVB1PG,0.00,"",0.005,"",4,,false
Conqueror's Galleon // Conqueror's Foothold,Ixalan,17,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/conquerors_galleon__conquerors_foothold/1534353,,,B075NTJ5J8,0.00,"",0.005,"",4,,false
Deadeye Plunderers,Ixalan,10,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/deadeye_plunderers/1534363,,,B075NWGSQR,0.00,"",0.005,"",4,,false
Deadeye Quartermaster,Ixalan,13,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/deadeye_quartermaster/1534373,,,B075NVFG6P,0.00,"",0.005,"",4,,false
Deathless Ancient,Ixalan,16,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/deathless_ancient/1534383,,,B075NT2BVN,0.00,"",0.005,"",4,,false
Deeproot Waters,Ixalan,18,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/deeproot_waters/1534393,,,B075NTVY1H,0.00,"",0.005,"",4,,false
Belligerent Brontodon - Foil,Ixalan,2,0,0.00,0.75,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/belligerent_brontodon__foil/1534403,,,B075NW3D2M,0.00,"",0.005,"",4,,false
